date_time,turnoverRatio,transactionAmount,pe_ttm,pe,pb,ps,pcf
s37d1,1.0288,7213.0,30.4434,27.9591,4.4703,6.9974,77.4941
s38d1,1.102,3198.0,22.1327,21.4663,3.9976,3.6797,-79.2992
s39d1,0.6253,1368.0,24.5909,23.3749,2.3044,1.6097,-712.7094
s40d1,0.4271,2692.0,57.4763,50.3213,12.2058,5.007,-343.7378
s41d1,2.2606,7413.0,24.8352,23.6547,3.0908,1.7766,-47.687
s42d1,4.1742,18143.0,22.5395,22.1992,2.5209,0.4605,383.9205
s43d1,0.7919,3925.0,30.5147,22.3856,3.7183,0.7423,109.456
s44d1,2.9667,19657.0,266.3659,1207.5353,5.2055,11.4706,-37.6082
s45d1,2.1971,6446.0,55.3451,43.2765,2.2617,0.9182,-31.0777
s46d1,0.5608,13489.0,23.2501,19.6464,5.4338,6.3587,-30.7809
s47d1,1.0823,7727.0,23.9826,24.9632,3.929,3.5317,72.2503
s48d1,0.9473,3247.0,469.0424,67.036,3.2839,2.6757,271.153
s49d1,2.9971,22514.0,72.9905,122.9823,8.2002,4.303,130.9637
s50d1,2.1203,1647.0,39.6217,38.751,3.7542,1.4596,40.7135
s51d1,2.3419,11045.0,55.5954,36.3407,2.4076,1.0177,13.148
s52d1,1.6722,4445.0,53.2185,44.321,2.6026,2.0578,4073.9596
s53d1,0.6341,3183.0,17.6702,14.8188,4.0209,0.4797,69.2587
s0d2,3.2535,18378.0,33.3198,31.2498,4.7814,3.6935,-559.9031
s1d2,4.4357,11726.0,27.1979,25.5836,4.7422,2.8596,22.3504
s2d2,1.6831,6366.0,41.2943,40.3256,4.6246,3.981,-55.9936
s3d2,2.3786,4170.0,14.782,13.402,2.1267,0.6497,59.2749
s4d2,0.6575,4241.0,-360.149,-421.6577,2.9898,2.8589,-24.5572
s5d2,1.049,2799.0,80.3973,99.6627,10.6249,17.224,-223.9439
s6d2,3.679,56404.0,235.6074,-86.7915,1.6581,0.6374,9.786
s7d2,0.9587,4693.0,28.2142,27.8567,8.0003,10.5552,-238.261
s8d2,0.956,2922.0,32.8957,29.1981,11.0012,4.751,57.8064
s9d2,2.8418,14472.0,16.1333,14.3089,2.9573,0.7273,-44.9795
s10d2,3.0772,8395.0,19.5361,21.3646,2.7027,3.0741,-24.4639
s11d2,0.9565,2622.0,27.2709,23.8007,4.964,6.909,-42.9584
s12d2,8.1367,17325.0,11.9837,13.8473,2.9528,1.1442,18.4788
s13d2,1.4082,6496.0,37.0305,35.0412,10.3494,7.3805,62.1826
s14d2,0.5551,1399.0,38.2469,36.6797,3.7678,5.0443,-57.1675
s15d2,2.1366,3430.0,31.9901,30.8194,6.4027,4.5874,78.2435
s16d2,0.8631,9720.0,38.0988,22.1093,2.1716,1.6538,39.9514
s17d2,3.5083,15252.0,58.6324,312.0406,2.1953,2.1616,-63.5029
s18d2,2.4984,11462.0,38.1042,37.4643,5.7104,4.8877,143.3037
s19d2,3.8126,7317.0,33.4951,33.7828,3.5487,5.3122,-41.9274
s20d2,3.5008,10285.0,29.2515,28.6753,4.8991,3.392,54.6145
s21d2,1.9416,22766.0,48.2023,45.4194,6.5694,3.6341,-64.7718
s22d2,1.6137,3967.0,39.6641,33.9575,5.2572,5.3059,-103.9876
s23d2,1.8331,5914.0,52.8448,46.3304,5.6216,8.3106,-42.8156
s24d2,3.5897,8030.0,34.9581,32.8739,5.4427,8.3403,-50.2754
s25d2,3.2048,8037.0,22.4328,18.1893,4.0053,4.2902,18.8352
s26d2,5.1582,64108.0,86.1289,143.453,9.4366,14.997,-68.3486
s27d2,1.2499,3869.0,94.3409,44.221,6.6725,2.6822,-47.8691
s28d2,0.4919,16398.0,17.547,18.1648,5.3136,8.7602,453.1484
s29d2,3.2436,21535.0,23.2671,23.9218,5.3667,8.48,-102.1902
s30d2,0.9077,5694.0,15.6891,15.1423,3.0838,1.2811,32.6049
s31d2,22.9138,23467.0,165.7205,94.5978,3.6793,1.5867,-47.3411
s32d2,1.7609,3535.0,84.1334,71.975,5.4577,16.6566,-340.9387
s33d2,1.0023,14696.0,13.3648,13.718,3.4702,2.3108,68.1768
s34d2,3.6081,17625.0,64.8312,-270.8319,3.1985,0.537,-1417.6873
s35d2,0.6039,9112.0,33.4652,22.8933,4.2673,1.9387,-42.5638
s36d2,1.4173,3554.0,24.325,25.4771,4.5887,5.363,481.4026
s37d2,0.8089,6164.0,29.525,27.1156,4.3354,6.7863,75.1563
s38d2,0.874,2443.0,22.294,21.6228,4.0267,3.7065,-79.8772
s39d2,0.4147,985.0,24.3037,23.102,2.2775,1.5909,-704.3869
s40d2,0.2553,1163.0,57.0055,49.9091,12.1058,4.966,-340.9225
s41d2,2.3087,13224.0,24.9971,23.8089,3.111,1.7882,-47.9979
s42d2,2.5782,10355.0,22.0051,21.6728,2.4612,0.4496,374.8178
s43d2,0.5715,3330.0,30.0225,22.0245,3.6583,0.7303,107.6906
s44d2,2.0639,16076.0,253.185,1147.781,4.9479,10.903,-35.7471
s45d2,1.5311,3988.0,57.2774,44.7874,2.3407,0.9503,-32.1627
s46d2,0.3844,9657.0,22.9735,19.4127,5.3691,6.2831,-30.4147
s47d2,1.3453,10451.0,24.46,25.4602,4.0073,3.602,73.6887
s48d2,0.6917,1945.0,466.6933,66.7003,3.2675,2.6623,269.795
s49d2,1.9138,17375.0,70.0234,117.983,7.8669,4.1281,125.6399
s50d2,2.3094,1830.0,38.8479,37.9942,3.6808,1.4311,39.9184
s51d2,2.047,8535.0,53.4694,34.951,2.3155,0.9788,12.6452
s52d2,0.835,2437.0,53.3644,44.4425,2.6097,2.0634,4085.1273
s53d2,0.8811,4590.0,17.1109,14.3498,3.8936,0.4646,67.0664
s0d3,2.4947,13686.0,23.3887,23.3887,4.3823,2.9722,-42.8676
s1d3,1.6321,2621.0,28.0593,28.0593,4.6361,2.9688,-26.4814
s2d3,1.1824,5034.0,38.896,38.896,4.617,3.7835,-43.2471
s3d3,1.0121,3215.0,13.0292,13.0292,1.9817,0.6388,35.3675
s4d3,0.8401,4081.0,-803.83,-803.83,3.0209,2.957,-25.9189
s5d3,1.1336,3186.0,75.4913,75.4913,10.0949,14.8846,-400.4059
s6d3,4.2606,65630.0,169.8962,169.8962,1.609,0.6266,41.8642
s7d3,1.1901,5519.0,26.9892,26.9892,7.4429,9.7587,179.006
s8d3,0.7007,2255.0,30.2229,30.2229,10.1975,4.9558,88.8781
s9d3,3.3705,13201.0,14.9852,14.9852,2.8604,0.7412,375.9814
s10d3,1.7542,4940.0,20.5661,20.5661,2.6312,2.5561,-25.6657
s11d3,0.8905,2811.0,23.9746,23.9746,4.7019,6.6354,-23.9718
s12d3,5.3055,12045.0,12.3557,12.3557,2.7068,1.0168,100.7747
s13d3,1.1459,4462.0,34.8808,34.8808,9.7371,7.4268,43.6235
s14d3,0.9551,2542.0,38.8721,38.8721,3.774,5.1683,-147.9302
s15d3,3.42,6655.0,26.2498,26.2498,5.8971,4.1531,37.8638
s16d3,0.6013,7686.0,37.5255,37.5255,2.2241,2.0179,214.611
s17d3,3.5842,14486.0,639.3845,639.3845,2.1607,1.7058,-58.2644
s18d3,1.6545,7043.0,37.8305,37.8305,5.4021,4.8564,-36.1631
s19d3,1.9768,4620.0,32.6037,32.6037,3.4323,5.0979,-45.7216
s20d3,1.6435,4702.0,29.222,29.222,4.9026,3.3656,32.2162
s21d3,1.5388,17820.0,46.7466,46.7466,6.6429,3.6857,-120.7886
s22d3,2.8064,6138.0,40.5113,40.5113,5.1974,5.0359,-69.5353
s23d3,1.704,4798.0,52.0483,52.0483,5.6857,8.1499,-41.8437
s24d3,1.1547,5379.0,36.9293,36.9293,5.2673,8.6457,-39.3109
s25d3,2.3952,5738.0,24.5206,24.5206,4.0048,4.0369,15.5471
s26d3,3.6463,48885.0,118.3216,118.3216,9.1626,13.0329,-38.4099
s27d3,0.7994,2535.0,129.4317,129.4317,7.4449,2.9997,-44.8815
s28d3,0.4052,13065.0,17.1235,17.1235,4.9194,8.1585,87.4544
s29d3,2.5739,17757.0,21.6725,21.6725,4.9971,7.3821,46.5344
s30d3,0.3681,3094.0,15.0615,15.0615,2.9955,1.2432,12.7834
s31d3,14.2856,15828.0,93.8524,93.8524,3.4264,1.7435,119.1751
s32d3,1.7833,3174.0,-226.6421,-226.6421,5.9506,17.2275,-2188.5986
s33d3,0.9929,15272.0,13.2966,13.2966,3.3546,2.283,3986.7175
s34d3,5.2811,24437.0,-79.2295,-79.2295,3.4255,0.5555,388.9363
s35d3,1.1373,11986.0,34.4263,34.4263,4.4524,2.3585,-32.1876
s36d3,1.2092,2461.0,25.7051,25.7051,4.4645,5.5577,-23.269
s37d3,0.5749,5116.0,29.6654,29.6654,4.2401,6.9776,7411.5896
s38d3,1.4747,5519.0,21.6824,21.6824,3.9714,3.572,-79.4195
s39d3,0.3442,612.0,21.8795,21.8795,2.2279,1.4806,533.7754
s40d3,0.7509,3392.0,53.0019,53.0019,11.3428,4.7309,-375.5098
s41d3,2.9807,14960.0,26.7422,26.7422,3.1411,1.8581,-18.9456
s42d3,2.7721,10154.0,24.4102,24.4102,2.3899,0.4411,-38.5878
s43d3,0.4813,2802.0,29.6193,29.6193,3.6815,0.7562,-47.8652
s44d3,1.7505,13520.0,246.6415,246.6415,4.9505,7.0553,-41.1181
s45d3,3.8409,9324.0,36.6279,36.6279,2.3489,0.9974,-96.9397
s46d3,0.3077,8858.0,22.9137,22.9137,5.2362,7.0394,-29.4432
s47d3,1.2826,10929.0,25.9915,25.9915,3.9829,3.7001,-545.3162
s48d3,0.4614,2100.0,125.8704,125.8704,3.3594,2.8383,-31.4273
s49d3,1.5134,13393.0,75.5017,75.5017,4.4786,3.2836,97.2425
s50d3,1.8377,1405.0,37.0661,37.0661,3.6256,1.395,17.2234
s51d3,1.0539,4553.0,54.3874,54.3874,2.405,1.0359,49.6322
s52d3,0.6818,1734.0,50.1796,50.1796,2.617,2.0213,103.079
s53d3,0.4013,2271.0,20.4745,20.4745,3.9813,0.5189,34.6773
s0d4,4.5625,22587.0,23.9187,23.9187,4.4816,3.0396,-43.839
s1d4,2.6425,4710.0,29.8017,29.8017,4.924,3.1532,-28.1259
s2d4,1.5766,7585.0,38.6806,38.6806,4.5915,3.7625,-43.0077
s3d4,4.4998,8030.0,13.7909,13.7909,2.0976,0.6762,37.4353
s4d4,1.0243,5512.0,-808.8644,-808.8644,3.0398,2.9755,-26.0813
s5d4,1.1143,3237.0,73.7442,73.7442,9.8613,14.5401,-391.1395
s6d4,3.5774,56590.0,171.1672,171.1672,1.621,0.6313,42.1774
s7d4,1.7885,8588.0,27.8571,27.8571,7.6823,10.0725,184.7625
s8d4,1.5403,4773.0,31.1987,31.1987,10.5268,5.1158,91.7478
s9d4,5.2134,23586.0,15.6355,15.6355,2.9846,0.7734,392.2976
s10d4,2.969,7403.0,21.1773,21.1773,2.7094,2.632,-26.4284
s11d4,0.9798,3291.0,23.7716,23.7716,4.6621,6.5792,-23.7688
s12d4,4.5552,10422.0,12.7529,12.7529,2.7938,1.0494,104.0137
s13d4,2.2732,6868.0,35.4047,35.4047,9.8833,7.5384,44.2787
s14d4,0.8695,2343.0,38.7932,38.7932,3.7663,5.1578,-147.63
s15d4,2.4322,4082.0,26.2196,26.2196,5.8903,4.1483,37.8202
s16d4,1.569,15729.0,39.1693,39.1693,2.3215,2.1063,224.012
s17d4,3.5154,14126.0,650.0497,650.0497,2.1968,1.7343,-59.2363
s18d4,2.6784,11918.0,40.1751,40.1751,5.7369,5.1574,-38.4044
s19d4,2.3264,4717.0,32.1683,32.1683,3.3865,5.0298,-45.111
s20d4,2.2839,5809.0,30.265,30.265,5.0776,3.4857,33.3661
s21d4,1.3756,17757.0,46.6841,46.6841,6.634,3.6807,-120.627
s22d4,2.0111,4070.0,41.4901,41.4901,5.3229,5.1575,-71.2154
s23d4,2.341,5633.0,53.0527,53.0527,5.7954,8.3072,-42.6512
s24d4,2.0692,7510.0,38.255,38.255,5.4563,8.9561,-40.7221
s25d4,5.2207,12158.0,25.8385,25.8385,4.2201,4.2539,16.3827
s26d4,13.6744,150090.0,130.1629,130.1629,10.0796,14.3372,-42.2539
s27d4,1.3987,4002.0,131.9915,131.9915,7.5921,3.059,-45.7691
s28d4,0.8276,27209.0,18.2885,18.2885,5.254,8.7135,93.404
s29d4,4.336,31225.0,22.6142,22.6142,5.2142,7.7029,48.5565
s30d4,1.1223,8476.0,16.5676,16.5676,3.295,1.3675,14.0617
s31d4,14.5977,15214.0,91.1853,91.1853,3.329,1.694,115.7884
s32d4,1.7693,3446.0,-228.895,-228.895,6.0097,17.3987,-2210.354
s33d4,3.2093,30570.0,14.2385,14.2385,3.5923,2.4447,4269.1374
s34d4,14.3046,61613.0,-85.9997,-85.9997,3.7182,0.603,422.1711
s35d4,1.1504,12484.0,34.9867,34.9867,4.5249,2.3969,-32.7115
s36d4,1.9733,5835.0,25.9816,25.9816,4.5125,5.6175,-23.5193
s37d4,1.8288,12157.0,31.9971,31.9971,4.5734,7.5261,7994.1414
s38d4,1.325,4643.0,22.1627,22.1627,4.0594,3.6511,-81.1788
s39d4,0.6106,1433.0,22.3455,22.3455,2.2753,1.5121,545.1444
s40d4,0.7569,6568.0,52.895,52.895,11.3199,4.7214,-374.7527
s41d4,2.9333,15996.0,27.0438,27.0438,3.1766,1.8791,-19.1593
s42d4,3.5444,11889.0,25.4489,25.4489,2.4916,0.4599,-40.2298
s43d4,0.9777,6711.0,30.0293,30.0293,3.7325,0.7667,-48.5278
s44d4,2.8509,20749.0,251.8442,251.8442,5.0549,7.2041,-41.9854
s45d4,3.3272,9089.0,37.4565,37.4565,2.4021,1.0199,-99.1326
s46d4,0.6102,12802.0,25.2065,25.2065,5.7602,7.7438,-32.3893
s47d4,1.3109,12919.0,26.4962,26.4962,4.0603,3.772,-555.9049
s48d4,0.6423,2230.0,122.4295,122.4295,3.2675,2.7607,-30.5682
s49d4,5.5459,33532.0,81.3852,81.3852,4.8276,3.5395,104.8202
s50d4,2.4206,1817.0,37.4684,37.4684,3.6649,1.4101,17.4103
s51d4,1.682,6880.0,55.3567,55.3567,2.4479,1.0544,50.5167
s52d4,2.0033,4822.0,52.0824,52.0824,2.7162,2.0979,106.9878
s53d4,1.1922,5486.0,21.2346,21.2346,4.1291,0.5382,35.9647
s0d5,18.2257,65239.0,25.9119,25.9119,4.8551,3.2929,-47.4923
s1d5,2.9481,4990.0,30.9433,30.9433,5.1126,3.274,-29.2033
s2d5,2.007,9590.0,40.5691,40.5691,4.8156,3.9462,-45.1074
s3d5,4.7562,8099.0,13.9256,13.9256,2.1181,0.6828,37.801
s4d5,1.5217,8812.0,-847.4617,-847.4617,3.1848,3.1175,-27.3258
s5d5,1.4679,4270.0,77.22,77.22,10.3261,15.2255,-409.5747
s6d5,2.3618,41197.0,167.3541,167.3541,1.5849,0.6172,41.2378
s7d5,2.3192,8181.0,28.5576,28.5576,7.8754,10.3257,189.408
s8d5,1.6685,5063.0,31.7485,31.7485,10.7123,5.206,93.3645
s9d5,4.6046,16815.0,15.8051,15.8051,3.017,0.7818,396.554
s10d5,5.9664,14130.0,21.9702,21.9702,2.8108,2.7306,-27.4179
s11d5,1.2742,3605.0,24.3323,24.3323,4.772,6.7344,-24.3294
s12d5,4.0633,7986.0,12.7619,12.7619,2.7958,1.0502,104.0873
s13d5,2.9515,7198.0,36.3215,36.3215,10.1393,7.7336,45.4252
s14d5,1.18,3125.0,39.477,39.477,3.8327,5.2487,-150.2323
s15d5,3.2685,4266.0,27.0349,27.0349,6.0735,4.2773,38.9962
s16d5,1.1432,12811.0,39.4511,39.4511,2.3382,2.1214,225.6236
s17d5,4.6641,18046.0,673.5134,673.5134,2.2761,1.7969,-61.3744
s18d5,1.6046,8280.0,39.3356,39.3356,5.617,5.0496,-37.6018
s19d5,3.0525,5809.0,31.9378,31.9378,3.3622,4.9938,-44.7877
s20d5,1.9935,5665.0,31.3957,31.3957,5.2673,3.616,34.6126
s21d5,3.5484,34290.0,50.769,50.769,7.2145,4.0028,-131.1819
s22d5,3.4076,7105.0,43.4877,43.4877,5.5792,5.4059,-74.6442
s23d5,3.376,10720.0,54.9399,54.9399,6.0016,8.6027,-44.1684
s24d5,1.4346,5792.0,37.8763,37.8763,5.4023,8.8674,-40.3189
s25d5,4.5221,9615.0,25.1396,25.1396,4.1059,4.1388,15.9396
s26d5,9.846,103299.0,126.5511,126.5511,9.7999,13.9394,-41.0814
s27d5,1.2431,3491.0,132.6315,132.6315,7.6289,3.0739,-45.991
s28d5,0.4818,16677.0,17.8649,17.8649,5.1323,8.5117,91.2409
s29d5,6.2434,36170.0,23.9629,23.9629,5.5252,8.1623,51.4524
s30d5,1.3496,8964.0,17.696,17.696,3.5194,1.4606,15.0194
s31d5,13.3465,13568.0,94.7895,94.7895,3.4606,1.7609,120.365
s32d5,2.0731,3883.0,-234.7526,-234.7526,6.1635,17.844,-2266.9182
s33d5,2.8628,27909.0,14.4357,14.4357,3.642,2.4786,4328.2485
s34d5,9.3753,45283.0,-82.5231,-82.5231,3.5679,0.5786,405.1046
s35d5,0.9739,8696.0,35.2174,35.2174,4.5547,2.4127,-32.9272
s36d5,2.148,5585.0,26.6506,26.6506,4.6287,5.7621,-24.1249
s37d5,1.3613,8310.0,31.2312,31.2312,4.4639,7.3459,7802.7923
s38d5,1.5986,7816.0,22.6567,22.6567,4.1499,3.7325,-82.9884
s39d5,0.8508,1535.0,22.6484,22.6484,2.3062,1.5326,552.5343
s40d5,1.0396,4969.0,54.3697,54.3697,11.6355,4.853,-385.2004
s41d5,1.9883,13252.0,26.6417,26.6417,3.1293,1.8511,-18.8744
s42d5,3.1154,11903.0,24.7407,24.7407,2.4223,0.4471,-39.1103
s43d5,0.8718,3875.0,30.0534,30.0534,3.7355,0.7673,-48.5668
s44d5,5.8797,34585.0,271.9494,271.9494,5.4585,7.7793,-45.3372
s45d5,2.0595,5458.0,36.8279,36.8279,2.3618,1.0028,-97.469
s46d5,0.4264,9466.0,25.2036,25.2036,5.7595,7.7429,-32.3856
s47d5,2.601,19076.0,27.8956,27.8956,4.2747,3.9712,-585.2644
s48d5,0.5735,2076.0,124.4252,124.4252,3.3208,2.8057,-31.0665
s49d5,3.1416,17820.0,79.4851,79.4851,4.7149,3.4569,102.3729
s50d5,2.9754,2280.0,38.1223,38.1223,3.7289,1.4347,17.7141
s51d5,1.8805,7558.0,55.7875,55.7875,2.467,1.0626,50.9098
s52d5,2.3709,5350.0,53.3599,53.3599,2.7828,2.1494,109.6122
s53d5,1.3546,5367.0,21.5779,21.5779,4.1958,0.5469,36.5461
s0d6,9.5071,34200.0,25.5778,25.5778,4.7925,3.2504,-46.8799
s1d6,2.1757,4718.0,31.2588,31.2588,5.1647,3.3073,-29.501
s2d6,1.2419,6219.0,39.9727,39.9727,4.7448,3.8882,-44.4443
s3d6,2.1043,3659.0,13.7352,13.7352,2.0891,0.6734,37.284
s4d6,0.9775,6054.0,-837.3928,-837.3928,3.147,3.0804,-27.0011
s5d6,1.5158,4050.0,78.7096,78.7096,10.5253,15.5192,-417.4756
s6d6,1.6744,29949.0,166.083,166.083,1.5729,0.6125,40.9246
s7d6,1.264,5775.0,28.1236,28.1236,7.7558,10.1688,186.5298
s8d6,1.6749,5705.0,31.2125,31.2125,10.5314,5.1181,91.7882
s9d6,3.163,13183.0,15.9465,15.9465,3.0439,0.7888,400.101
s10d6,3.5526,9240.0,22.0363,22.0363,2.8193,2.7388,-27.5004
s11d6,0.9237,3022.0,24.1969,24.1969,4.7455,6.6969,-24.1941
s12d6,2.4466,6281.0,12.5994,12.5994,2.7602,1.0368,102.7623
s13d6,2.4242,7295.0,35.7365,35.7365,9.976,7.609,44.6936
s14d6,0.8847,2585.0,39.5296,39.5296,3.8378,5.2557,-150.4324
s15d6,1.9174,3214.0,26.8738,26.8738,6.0373,4.2518,38.7639
s16d6,1.0668,11442.0,38.3709,38.3709,2.2742,2.0633,219.4458
s17d6,3.4992,14037.0,674.0467,674.0467,2.2779,1.7983,-61.423
s18d6,1.5249,10299.0,37.9841,37.9841,5.424,4.8761,-36.3099
s19d6,2.4589,5123.0,31.4768,31.4768,3.3137,4.9217,-44.1412
s20d6,1.6203,3964.0,31.5972,31.5972,5.3011,3.6392,34.8349
s21d6,1.9271,20336.0,49.7269,49.7269,7.0664,3.9207,-128.4893
s22d6,1.8257,3131.0,43.5077,43.5077,5.5818,5.4083,-74.6785
s23d6,1.6672,4661.0,54.4224,54.4224,5.945,8.5216,-43.7524
s24d6,0.9662,4317.0,37.4975,37.4975,5.3483,8.7788,-39.9157
s25d6,2.6105,6016.0,25.2595,25.2595,4.1255,4.1586,16.0156
s26d6,6.4157,75089.0,127.054,127.054,9.8388,13.9948,-41.2447
s27d6,1.295,3933.0,133.3515,133.3515,7.6703,3.0905,-46.2407
s28d6,0.4798,17690.0,17.4234,17.4234,5.0055,8.3013,88.9856
s29d6,2.9045,17894.0,23.6723,23.6723,5.4582,8.0632,50.8283
s30d6,0.6233,4289.0,17.3878,17.3878,3.4582,1.4352,14.7578
s31d6,18.7311,18601.0,96.8078,96.8078,3.5343,1.7984,122.9279
s32d6,1.1699,2570.0,-232.0491,-232.0491,6.0925,17.6385,-2240.8117
s33d6,1.3184,17326.0,14.1399,14.1399,3.5674,2.4278,4239.5818
s34d6,6.223,32628.0,-83.621,-83.621,3.6153,0.5863,410.494
s35d6,0.446,6682.0,34.723,34.723,4.4908,2.3788,-32.465
s36d6,2.776,5560.0,27.1679,27.1679,4.7186,5.874,-24.5931
s37d6,0.8523,6508.0,31.2482,31.2482,4.4663,7.3499,7807.0445
s38d6,0.7418,2717.0,22.5744,22.5744,4.1348,3.719,-82.6868
s39d6,0.8813,1449.0,22.4853,22.4853,2.2896,1.5216,548.5551
s40d6,0.3802,1510.0,53.4293,53.4293,11.4343,4.7691,-378.5381
s41d6,1.9323,9291.0,26.139,26.139,3.0703,1.8162,-18.5182
s42d6,2.1734,8648.0,24.2922,24.2922,2.3784,0.439,-38.4012
s43d6,0.8373,4297.0,30.0775,30.0775,3.7385,0.7679,-48.6058
s44d6,3.2969,23655.0,262.6022,262.6022,5.2709,7.5119,-43.7789
s45d6,1.3356,3762.0,36.6279,36.6279,2.3489,0.9974,-96.9397
s46d6,0.4474,10151.0,24.6094,24.6094,5.6237,7.5603,-31.6221
s47d6,1.104,9998.0,27.368,27.368,4.1938,3.8961,-574.1944
s48d6,0.8683,3037.0,126.5586,126.5586,3.3778,2.8538,-31.5992
s49d6,2.5956,17880.0,80.5153,80.5153,4.776,3.5017,103.6997
s50d6,2.1926,1557.0,37.7451,37.7451,3.692,1.4205,17.5389
s51d6,1.2618,4836.0,55.249,55.249,2.4431,1.0523,50.4184
s52d6,1.257,3663.0,52.8978,52.8978,2.7587,2.1308,108.6629
s53d6,0.7146,2979.0,21.4063,21.4063,4.1624,0.5425,36.2554
s0d7,5.6046,23782.0,25.2091,25.2091,4.7234,3.2036,-46.2041
s1d7,1.1308,1707.0,31.3489,31.3489,5.1796,3.3169,-29.5861
s2d7,0.877,4811.0,39.4261,39.4261,4.68,3.835,-43.8365
s3d7,1.7303,4201.0,13.6469,13.6469,2.0757,0.6691,37.0445
s4d7,0.6136,3389.0,-827.324,-827.324,3.1092,3.0434,-26.6765
s5d7,0.6979,2237.0,78.7463,78.7463,10.5302,15.5264,-417.6707
s6d7,1.9782,39899.0,158.4568,158.4568,1.5006,0.5844,39.0455
s7d7,1.2472,5906.0,28.2073,28.2073,7.7788,10.1991,187.0853
s8d7,0.8264,3489.0,31.3362,31.3362,10.5731,5.1383,92.1519
s9d7,2.4399,9628.0,15.4376,15.4376,2.9468,0.7636,387.3318
s10d7,2.8609,7216.0,21.6728,21.6728,2.7728,2.6936,-27.0469
s11d7,0.7489,1969.0,24.1292,24.1292,4.7322,6.6782,-24.1264
s12d7,2.5643,5852.0,12.3196,12.3196,2.6989,1.0138,100.4803
s13d7,2.6055,8232.0,36.4262,36.4262,10.1685,7.7559,45.5562
s14d7,0.6806,1693.0,39.2666,39.2666,3.8123,5.2207,-149.4316
s15d7,1.732,2184.0,27.1254,27.1254,6.0938,4.2916,39.1269
s16d7,0.7845,10344.0,38.5587,38.5587,2.2853,2.0734,220.5202
s17d7,8.2192,33876.0,690.5779,690.5779,2.3337,1.8424,-62.9294
s18d7,1.7194,11005.0,38.5779,38.5779,5.5088,4.9523,-36.8776
s19d7,1.5639,2760.0,31.5537,31.5537,3.3218,4.9337,-44.249
s20d7,1.4631,4821.0,31.0012,31.0012,5.2011,3.5705,34.1778
s21d7,1.2671,16946.0,49.3101,49.3101,7.0072,3.8878,-127.4123
s22d7,1.3299,2835.0,42.8884,42.8884,5.5023,5.3314,-73.6156
